Original,New
"BIIR","Unknown"
"BIJO","Unknown"
"BIK","Unknown"
"BIK,","Unknown"
"BIK,,","Unknown"
"BIK-","Unknown"
"BIK.","Unknown"
"BIKE","Unknown"
"BIL","Unknown"
"BILK","Unknown"
"BILLT","Unknown"
"BILUE","Blue"
"BILVE","Unknown"
"BIM","Unknown"
"BIMK","Unknown"
"BIN","Unknown"
"BINC","Unknown"
"BINCK","Unknown"
"BINDO","Unknown"
"BINE","Unknown"
"BIOWN","Brown"
"BIQW","Unknown"
"BIR","Unknown"
"BIRCH","Unknown"
"BIRG","Unknown"
"BIRGA","Unknown"
"BIRGE","Unknown"
"BIRGN","Unknown"
"BIRGU","Unknown"
"BIU","Unknown"
"BIUC","Unknown"
"BIUCK","Black"
"BIUE","Blue"
"BIUE.","Blue"
"BIUG","Unknown"
"BIV","Unknown"
"BIV.","Unknown"
"BIVE","Unknown"
"BIW","Unknown"
"BIW.","Unknown"
"BIWH","Unknown"
"BIWT","Unknown"
"BIX","Unknown"
"BIYX","Unknown"
"BIZNN","Unknown"
"BJ","Unknown"
"BJK","Unknown"
"BK","Black"
"BK /W","Unknown"
"BK B","Unknown"
"BK BG","Unknown"
"BK BL","Unknown"
"BK GD","Unknown"
"BK GN","Unknown"
"BK GR","Unknown"
"BK GY","Unknown"
"BK HA","Unknown"
"BK LK","Unknown"
"BK M","Unknown"
"BK MN","Unknown"
"BK NO","Unknown"
"BK OG","Unknown"
"BK OR","Unknown"
"BK PI","Unknown"
"BK RD","Unknown"
"BK SL","Unknown"
"BK SS","Unknown"
"BK W","Unknown"
"BK WH","Unknown"
"BK WT","Unknown"
"BK YE","Unknown"
"BK YW","Unknown"
"BK+","Black"
"BK++","Black"
"BK,","Black"
"BK,SL","Unknown"
"BK,WH","Unknown"
"BK-","Black"
"BK--*","Unknown"
"BK-BK","Unknown"
"BK-BL","Unknown"
"BK-BR","Unknown"
"BK-GL","Unknown"
"BK-GR","Unknown"
"BK-GY","Unknown"
"BK-MR","Unknown"
"BK-OG","Unknown"
"BK-OR","Unknown"
"BK-PR","Unknown"
"BK-RD","Unknown"
"BK-TN","Unknown"
"BK-WH","Unknown"
"BK-WT","Unknown"
"BK-YL","Unknown"
"BK-YW","Unknown"
"BK.","Black"
"BK.,","Black"
"BK..","Black"
"BK..3","Black"
"BK.0","Black"
"BK.J","Unknown"
"BK.LN","Unknown"
"BK.MH","Unknown"
"BK.WH","Unknown"
"BK/","Black"
"BK/BE","Unknown"
"BK/BG","Unknown"
"BK/BL","Unknown"
"BK/BR","Unknown"
"BK/BW","Unknown"
"BK/GN","Unknown"
"BK/GR","Unknown"
"BK/GY","Unknown"
"BK/OR","Unknown"
"BK/PK","Unknown"
"BK/R","Unknown"
"BK/RD","Unknown"
"BK/SI","Unknown"
"BK/SL","Unknown"
"BK/TN","Unknown"
"BK/W","Unknown"
"BK/WH","Unknown"
"BK/WT","Unknown"
"BK/YE","Unknown"
"BK/YW","Unknown"
"BK0","Black"
"BK0-","Black"
"BK00","Black"
"BK000","Black"
"BK1","Black"
"BK1`","Black"
"BK2","Black"
"BK2QS","Unknown"
"BK3","Black"
"BK333","Black"
"BK4","Black"
"BK6","Black"
"BK7[","Black"
"BK;","Black"
"BK=-[","Black"
"BKA","Unknown"
"BKAC","Unknown"
"BKACJ","Unknown"
"BKACK","Black"
"BKACL","Unknown"
"BKAE","Unknown"
"BKB","Unknown"
"BKBK","Unknown"
"BKBL","Unknown"
"BKBLI","Unknown"
"BKBLU","Unknown"
"BKBR","Unknown"
"BKBRY","Unknown"
"BKC","Unknown"
"BKCDC","Unknown"
"BKCH","Unknown"
"BKCHY","Unknown"
"BKCJ","Unknown"
"BKCK","Unknown"
"BKCL","Unknown"
"BKCU","Unknown"
"BKD","Unknown"
"BKDS","Unknown"
"BKE","Unknown"
"BKEY","Unknown"
"BKF","Unknown"
"BKG","Unknown"
"BKGD","Unknown"
"BKGHJ","Unknown"
"BKGL","Unknown"
"BKGR","Unknown"
"BKGRE","Unknown"
"BKGRN","Unknown"
"BKGRY","Unknown"
"BKGY","Unknown"
"BKH","Unknown"
"BKHIJ","Unknown"
"BKI","Unknown"
"BKIE","Unknown"
"BKJ","Unknown"
"BKK","Unknown"
"BKK.","Unknown"
"BKKK","Unknown"
"BKL","Unknown"
"BKL,","Unknown"
"BKL.","Unknown"
"BKL.[","Unknown"
"BKLA","Unknown"
"BKLAC","Black"
"BKLJ","Unknown"
"BKLK","Black"
"BKLKK","Black"
"BKLU","Blue"
"BKLUE","Blue"
"BKLY","Unknown"
"BKM","Unknown"
"BKM,","Unknown"
"BKMR","Unknown"
"BKN","Unknown"
"BKNK","Unknown"
"BKNO","Unknown"
"BKO","Unknown"
"BKOR","Unknown"
"BKORA","Unknown"
"BKP","Unknown"
"BKPK","Unknown"
"BKPR","Unknown"
"BKQ","Unknown"
"BKR","Unknown"
"BKRB","Unknown"
"BKRD","Unknown"
"BKRD.","Unknown"
"BKRED","Unknown"
"BKSAP","Unknown"
"BKSL","Unknown"
"BKSLV","Unknown"
"BKT","Unknown"
"BKTN","Unknown"
"BKTYO","Unknown"
"BKU","Unknown"
"BKUE","Unknown"
"BKUR","Unknown"
"BKVYH","Unknown"
"BKW","Unknown"
"BKWH","Unknown"
"BKWHI","Unknown"
"BKWHT","Unknown"
"BKWN","Unknown"
